Country Name,WB Code,Region,Income Group,Probability of Survival to Age 5,Expected Years of School,Harmonized Test Scores,Learning-Adjusted Years of School,Fraction of Children Under 5 Not Stunted,Adult Survival Rate,HUMAN CAPITAL INDEX 2020 (LOWER BOUND),HUMAN CAPITAL INDEX 2020,HUMAN CAPITAL INDEX 2020 (UPPER BOUND)
North Macedonia,MKD,Europe & Central Asia,Upper middle income,0.9901001453399658,11.02529525756836,413.6173095703125,7.296404838562012,0.9505164623260498,0.9088664054870605,0.5513598322868347,0.5573492050170898,0.5629380941390991
Norway,NOR,Europe & Central Asia,High income,0.9974570274353027,13.670827865600586,513.5878295898438,11.23387336730957,-,0.9446014165878296,0.7641687393188477,0.7710511684417725,0.7782204747200012
Oman,OMN,Middle East & North Africa,High income,0.9885821342468262,12.757845878601074,423.513427734375,8.644990921020508,-,0.911910355091095,0.5951722860336304,0.6081162691116333,0.6207044124603271
Pakistan,PAK,South Asia,Lower middle income,0.9306910634040833,9.373867988586426,338.65655517578125,5.079235076904297,0.6237040758132935,0.8453097343444824,0.39175963401794434,0.4060700237751007,0.41944947838783264
Palau,PLW,East Asia & Pacific,High income,0.9820764064788818,11.72822380065918,463.2114562988281,8.692235946655273,-,0.8650000095367432,0.5673240423202515,0.5881134867668152,0.6051538586616516
Panama,PAN,Latin America & Caribbean,High income,0.9847291111946106,10.748002052307129,376.86468505859375,6.480867385864258,-,0.8881295323371887,0.48944056034088135,0.5016019940376282,0.5109676718711853
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,0.952191174030304,10.319647789001465,363.32061767578125,5.998945713043213,0.5054570436477661,0.7823540568351746,0.41304484009742737,0.42918500304222107,0.444256067276001
Paraguay,PRY,Latin America & Caribbean,Upper middle income,0.9798471927642822,11.309476852416992,385.5442810058594,6.9764862060546875,0.9440251588821411,0.8579280972480774,0.5095416307449341,0.5281800627708435,0.5417889952659607
Peru,PER,Latin America & Caribbean,Upper middle income,0.9856920838356018,12.9995756149292,415.0254211425781,8.632246971130371,0.8783252239227295,0.8857889175415039,0.5931746363639832,0.6051926612854004,0.6161668300628662
Philippines,PHL,East Asia & Pacific,Lower middle income,0.9716281294822693,12.948321342468262,361.64599609375,7.492333889007568,0.6970000267028809,0.8168311715126038,0.5006224513053894,0.5159621238708496,0.5306685566902161
Poland,POL,Europe & Central Asia,High income,0.9955512881278992,13.41077995300293,530.0858154296875,11.37418270111084,-,0.8942272663116455,0.7430429458618164,0.7530885934829712,0.7628636956214905
Portugal,PRT,Europe & Central Asia,High income,0.996253490447998,13.900837898254395,508.514892578125,11.310052871704102,-,0.9329342246055603,0.7594370245933533,0.768949568271637,0.7777990698814392
Qatar,QAT,Middle East & North Africa,High income,0.9931663870811462,12.834320068359375,427.47784423828125,8.778220176696777,-,0.9614344239234924,0.6321608424186707,0.6377716064453125,0.6430392861366272
Romania,ROU,Europe & Central Asia,High income,0.9927167296409607,11.829931259155273,442.1617431640625,8.369189262390137,-,0.8778219223022461,0.5726143717765808,0.5841878652572632,0.5962278842926025
