countrycode,country_name,kg_kp_ratio,kg_k_share,kg_kp_fad,kg_k_fad,iei,pimi,efficiency_pimi,ig_i_20yr,ig_i_15yr,ig_i_10yr,ig_i_5yr,ig_i_current,ip_y,i_y,ig_y
IND,India,0.4038088023662567,0.28765228390693665,0.4852235019207001,0.3267006576061249,0.7296901941299438,0.39760565757751465,,0.244531512260437,0.23497430980205536,0.22499752044677734,0.22270527482032776,0.21779002249240875,,0.29607472773726634,
IDN,Indonesia,0.15383195877075195,0.13332267105579376,0.16598869860172272,0.14235876500606537,0.8141405582427979,0.3675000071525574,,0.1117115467786789,0.10686840862035751,0.10379353910684586,0.1115066260099411,0.1112542599439621,,0.291455857193679,
IRN,"Iran, Islamic Rep.",0.31025078892707825,0.2367873340845108,0.293209969997406,0.2267303764820099,0.7713719606399536,0.4824882447719574,,0.1373046636581421,0.1388864815235138,0.11708194762468338,0.11848427355289459,0.06975778192281723,,0.26732630452391903,
IRQ,Iraq,1.8973959684371948,0.6548625230789185,2.4992475509643555,0.7142242789268494,0.7713719606399536,0.46371790766716003,,0.5998551249504089,0.5887566804885864,0.5798829197883606,0.520866334438324,0.48559433221817017,,0.20581530596084055,
IRL,Ireland,0.15853187441825867,0.13683860003948212,0.1962447166442871,0.1640506386756897,0.8708469867706299,1.0,,0.12674705684185028,0.11690616607666016,0.09591057896614075,0.05989966168999672,0.05043859779834747,,0.17191941948556558,
IMN,Isle of Man,0.30219972133636475,0.2320682406425476,0.32298409938812256,0.24413134157657623,0.8708469867706299,0.29750001430511475,,,,,,0.16820192337036133,,,
ISR,Israel,0.182991161942482,0.1546851396560669,0.22109690308570862,0.181064173579216,0.8708469867706299,1.0,,0.11642546206712723,0.1111261323094368,0.11420893669128418,0.12054524570703506,0.12320049852132797,,0.22690494387869023,
ITA,Italy,0.2559877634048462,0.20381389558315277,0.24605660140514374,0.19746823608875275,0.8708469867706299,1.0,,0.14271150529384613,0.1436808705329895,0.1380167156457901,0.12966081500053406,0.12735328078269958,,0.21963928535847577,
JAM,Jamaica,0.3921378552913666,0.28159332275390625,0.4353678822517395,0.3031167984008789,0.7713719606399536,0.4300000071525574,,,,,,0.21673117578029633,,,
JPN,Japan,0.5099055171012878,0.33770692348480225,0.5505155324935913,0.35505321621894836,0.8708469867706299,1.0,,0.23498478531837463,0.21769288182258606,0.21700704097747803,0.20891156792640686,0.2091347575187683,,,
JOR,Jordan,0.3657331168651581,0.2677925229072571,0.4617842435836792,0.31590452790260315,0.8897325396537781,0.5525000095367432,,0.22977140545845032,0.20476976037025452,0.19464537501335144,0.19997188448905945,0.2038390338420868,,,
KAZ,Kazakhstan,0.23317980766296387,0.18908825516700745,0.2437954992055893,0.1960093080997467,0.9054595232009888,0.5950000286102295,,0.17658202350139618,0.18314827978610992,0.17697913944721222,0.1459670066833496,0.11368100345134735,,,
KEN,Kenya,0.513522207736969,0.33928948640823364,0.47173839807510376,0.32053142786026,0.6554292440414429,0.3725000023841858,,0.26392289996147156,0.29359230399131775,0.3422224521636963,0.40078648924827576,0.4205514192581177,,0.17662400247377963,
KIR,Kiribati,0.43687862157821655,0.30404573678970337,0.4784809350967407,0.32361602783203125,0.688909649848938,0.39125001430511475,,,,,,0.2327726185321808,,,
PRK,"Korea, Dem. People's Rep.",0.7650962471961975,0.43332433700561523,0.8174363970756531,0.4497744143009186,0.6186082363128662,0.36000001430511475,,,,,,0.3479066491127014,,,
KOR,"Korea, Rep.",0.2591775357723236,0.20583081245422363,0.26741448044776917,0.21099214255809784,0.9150992631912231,1.0,,0.17206180095672607,0.16661706566810608,0.15734122693538666,0.15051764249801636,0.16794951260089874,,,
XKX,Kosovo,0.3921378552913666,0.28159332275390625,0.4353678822517395,0.3031167984008789,0.6731497049331665,0.4399999976158142,,,,,,0.21673117578029633,,,
KWT,Kuwait,0.5150504112243652,0.3399559557437897,0.609765887260437,0.3787916600704193,0.8708469867706299,1.0,,0.2548494338989258,0.2516472041606903,0.2758806049823761,0.24902716279029846,0.24157783389091492,,,
KGZ,Kyrgyz Republic,0.43687862157821655,0.30404573678970337,0.4784809350967407,0.32361602783203125,0.7710118889808655,0.35249999165534973,,,,,,0.2327726185321808,,,
LAO,Lao PDR,0.43687862157821655,0.30404573678970337,0.4784809350967407,0.32361602783203125,0.688909649848938,0.22499999403953552,,0.32059282064437866,0.30564501881599426,0.31600433588027954,0.2660138010978699,0.2327726185321808,,,
